content,replies,retweets,favorites,date
"We have entered one chance in this country..
Buhari blaming Nigerians for xenophobia in south Africa....

Waawwu. ",13,91,118,Oct-04
#Xenophobia #XenophobiaSouthAfrica @NigeriaGov @Nigeria @NigeriaNewsdesk @Nigeria @NGRPresident @NigeriainfoFM @CoolFMNigeria This is what they do in South Africa  and South Africans are expected to do nothing but clap hands. ,16,46,46,Oct-05
"Generators companies, South Africa is ur destination. Tell Kojoli, another place just opened. Inverters guys, go& set up ur firm in SA. Eskom load shedding woes continue. Sister, what advice can you give to Ramphosa again as u gave for Xenophobia? Junior fake doctor help us here ",11,24,46,Oct-17
"African countries threatened South Africa with sanctions, Zambia even canceled a friendly match against South Africa based on fake Xenophobia outrage.

Uganda is about to pass a bill that will see homosexual people killed for being themselves and the whole continent is silent.",6,110,61,Oct-11
"Africans: Xenophobia is bad. South Africa must stop it. 

Kagame kills, jails, and maims 

Africans: Kagame is a great leader. He has cleaned up Kigali and very soon Rwanda will be making Volvos. 

Me: Confused.",21,21,74,Sep-24
See Buhari blaming Nigerians in #SouthAfrica for #Xenophobia. They should have typed a speech for this man to keep him in sync. Buhari without a prepared speech is like an uncontrolled body of water - a flood vis-a-vis a dam. #Nigeria #NigeriaInSA,81,238,315,Oct-03
"Despite Buhari's visit over Xenophobia attacks: Another 400 Nigerians ready to Leave South Africa ― Diaspora Commission 

Speaking further, he noted that Nigerians also faced life-threatening situations in Saudi Arabia and some other Asian countries.
",3,133,24,Oct-04
"Immigration law go chase you away from the US, Taxation go chase you away from  the UK, Cold go chase you away from Canada, Racism go case you away from Russia, Xenophobia go chase you away from South Africa wetin go chase you away from Naija?",19,24,62,Oct-12
"Where is the condemnation from the African Diaspora Forum, Amnesty International and liberals who have made a career out of demonizing our great nation? Where is the xenophobia brigade and why are they silent against Nigeria.

Oh I forgot they only speak against South Africa ",7,34,36,Oct-16
"South Pacific or South Africa, what difference does it make if as at 2019 there can still be anything Xenophobia?",5,7,74,Oct-08
"14 Nigerian government officials on financial waste tourism in South Africa. What kind of discourse are they going for after S/A delegates had come to talk about their barbaric xenophobia.
When will this government stop it's wastefulness and acts of ignorance",2,3,3,Oct-02
"""@gidifeedtv: “When you are in Rome, you do as the Romans do”, President #Buhari tells Nigerians on visit to South Africa #Xenophobia cc @Gidi_Traffic",43,41,58,Oct-03
"Amid Nigeria and South Africa seeking ways to end xenophobia in the latter’s country, the Nigerian community in South Africa has confirmed the killing of one of its members, Ikenna Innocent Otugo.

",2,2,2,Oct-16
President @MBuhari is going to South Africa to discuss the  plights of Nigerians who are constant targets and victims of xenophobia and they are still wailing?,1,1,13,Oct-02
Discussing Xenophobia in South Africa at the #ForumACHPR65 in Banjul with @_CSVR @CHR_HumanRights,,10,16,Oct-17
"I sometimes feel as if middle class Africans who hop from one elite gathering to another in places like UK, US, France etc. constitute the ""let them eat cake"" segment of the African population. They are far removed from Africa's reality - like South Africa's xenophobia.",2,27,59,Oct-09
"Good Morning Nigeria this Monday 7th October, focuses on President Muhammadu Buhari's visit to South Africa against xenophobia and the robust engagements that followed which have elevated relations between both nations. Send in your views via tweets.",44,3,13,Oct-06
"Let’s call a spade a spade . Xenophobia in South Africa is afrophobia, it is the hate of other Africans for no reason. Let’s stop justifying it with drugs and the poor economy.",,7,13,Oct-09
"WHY WE NEED THE #endxenophobiaconcert NOW!

With the recent upsurge in xenophobic attacks in South Africa, there seems to be an silent rift brewing.

Waking up to see the End Xenophobia Concert was joy unspeakable; Africans listen more to Music Artists than corrupt Politicians. ",,6,5,Oct-05
"Hundreds of people, originally from Rwanda, DR Congo, Burundi and Bangladesh, sleep outside the UNHCR @Refugees office in Cape Town.

They are asking #UNHCR for help as they say they are not safe in South Africa, due to high levels of crime as well as xenophobia

 Rodger Bosch ",5,52,37,Oct-09
"VIDEO | “When you are in Rome, you do as the Romans do”, President @MBuhari tells Nigerians on visit to South Africa #Xenophobia #XenophobiaInSouthAfrica",39,50,48,Oct-03
"Despite Buhari's visit over Xenophobia attacks: Another 400 Nigerians ready to Leave South Africa ― Diaspora Commission 

Speaking further, he noted that Nigerians also faced life-threatening situations in Saudi Arabia and some other Asian countries.
",,28,6,Oct-04
"MTN had issues with our regulatory agencies in Nigeria, Ramaphosa, South African President visited Nigeria

Nigerians in South Africa have issue with South Africans in South Africa resulting in Xenophobia, wailers still says South African president should have come to Nigeria",2,13,31,Oct-03
Xenophobia: How Nigeria worked for South Africa’s freedom – Ramaphosa tells Buhari https://dailypost.ng/2019/10/04/xenophobia-nigeria-worked-south-africas-freedom-ramaphosa-tells-buhari/ …,1,6,9,Oct-04
"Breaking News !!!!!!!!!
Wiz kid Releases hit song ""Holla at your boy""
Davido releases new Vibe ""Dami Duro""
Burna boy drops new single ""Ye""
Mercy emerges as BBN winner
Tacha got disqualified from BBN
Regina Daniels acquires first car.
Xenophobia Attacks in South Africa.",6,13,77,Oct-10
